Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
April,23,_______,19253.6,1823.4666666666665,8,1204,18,9,"Payday Loan, Auto Loan, Mortgage Loan, Payday Loan, Home Equity Loan, Not Specified, Not Specified, Auto Loan, and Personal Loan",50,17.0,6.42,13.0,_,3671.25,33.64630166057845,56.0,Yes,125.9126095331716,195.29845912965573,Low_spent_Small_value_payments,151.13559800383928
March,52,Journalist,30498.76,2320.563333333333,3,4,15,3,"Not Specified, Credit-Builder Loan, and Credit-Builder Loan",20,13.0,18.79,2.0,Standard,1012.92,29.209337210308327,213.0,Yes,45.46426789719704,181.1913914985686,Low_spent_Medium_value_payments,285.40067393756766
February,45,Engineer,9925.3,761.1083333333332,9,7,32,7,"Payday Loan, Not Specified, Payday Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",15,15.0,5.7,11.0,Bad,3083.14,28.94592765532088,165.0,Yes,41.638195971465954,100.668011107778,Low_spent_Small_value_payments,223.80462625408936
May,35,Architect,40206.26,3552.521666666667,3,3,15,1,Home Equity Loan,24,12.0,9.98,3.0,Standard,736.97,30.165875868501548,368.0,Yes,17.787342213516453,271.8729866102187,Low_spent_Small_value_payments,355.5918378429316
June,41,_______,12162.055,805.5045833333335,5,7,13,3,"Auto Loan, Home Equity Loan, and Payday Loan",22,11.0,10.84,4.0,Standard,1179.95,24.29167072305997,368.0,Yes,27.80687832332613,11.17654402546163,!@9#%8,291.5670359845456
June,15,Musician,46679.76,4108.98,5,4,8,3,"Auto Loan, Auto Loan, and Home Equity Loan",20,20.0,11.19,,Standard,629.26,24.19429666877306,70.0,Yes,49973.0,,Low_spent_Large_value_payments,471.6045552123989
April,32,Writer,62574.16,,10,8,16,8,"Debt Consolidation Loan, Mortgage Loan, Debt Consolidation Loan, Home Equity Loan, Payday Loan, Auto Loan, Auto Loan, and Personal Loan",36,18.0,15.77,12.0,_,3697.41,24.61553363135243,,Yes,241.3552404047493,230.8407483030329,High_spent_Small_value_payments,288.2553446255511
April,33,Manager,69061.0,5518.083333333332,8,6,17,7,"Credit-Builder Loan, Credit-Builder Loan, Mortgage Loan, Auto Loan, Student Loan, Mortgage Loan, and Auto Loan",22,12.0,8.19,6.0,Standard,233.54,27.369063194347337,234.0,Yes,275.74145644477403,10000.0,High_spent_Medium_value_payments,446.7083511538497
March,45,Scientist,9093.865,621.8220833333334,7,9,27,4,"Home Equity Loan, Not Specified, Home Equity Loan, and Debt Consolidation Loan",25,18.0,15.75,8.0,Bad,2196.35,34.98919395094831,114.0,Yes,25.631584288243552,69.97105570066397,Low_spent_Small_value_payments,256.5795683444258
May,52,Teacher,39057.08,,0,5,10,4,"Auto Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",11,0.0,4.99,4.0,Good,359.21,25.476654129297728,,No,108.119675213198,56.62187486423488,High_spent_Large_value_payments,425.5341165892338
January,32,_______,74450.88,6139.240000000002,6,4,19,3,"Not Specified, Mortgage Loan, and Credit-Builder Loan",5,22.0,16.85,8.0,Standard,640.7,32.765352970275124,235.0,Yes,120.84655218492288,94.60997357889369,High_spent_Large_value_payments,638.4674742361834
July,32,Mechanic,29349.0,,929,6,17,2,"Payday Loan, and Mortgage Loan",28,,9.88,2.0,Standard,1419.52,30.0383857636038,241.0,No,45.31352648250954,268.0467794276106,Low_spent_Small_value_payments,220.91469408987984
May,48,Media_Manager,19042.55,1716.8791666666666,3,7,15,0,,10,15.0,15.3,1.0,_,36.36,38.40646644434445,270.0,NM,0.0,47.81714312961032,High_spent_Small_value_payments,383.8707735370563
May,17,Teacher,20606.32,1897.1933333333327,6,6,13,1,Home Equity Loan,23,9.0,7.08,6.0,Standard,160.5,26.999206661709792,338.0,Yes,10.097169353705963,240.0056909901876,Low_spent_Small_value_payments,229.61647298943973
March,20,Journalist,63515.92,5566.993333333333,3,7,3,1,Home Equity Loan,3,0.0,0.65,4.0,Good,609.25,31.525764632976085,371.0,No,29.289364912538915,10000.0,High_spent_Medium_value_payments,633.8876754653795
June,25,Accountant,62214.36,4997.53,9,7,19,9,"Credit-Builder Loan, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, Mortgage Loan, and Credit-Builder Loan",56,17.0,1.05,11.0,Bad,2892.91,36.12806503294392,171.0,Yes,339.97158180105623,191.274109140058,High_spent_Medium_value_payments,218.5073090588858
March,26,Teacher,96582.24,7886.52,3,3,13,1,Auto Loan,5,15.0,19.79,0.0,Standard,482.88,42.92788872232197,309.0,Yes,72.46021109841324,154.42423829740508,High_spent_Medium_value_payments,811.7675506041818
May,37,Architect,7493.335,601.4445833333333,7,4,18,2,"Payday Loan, and Student Loan",30,11.0,12.47,6.0,Standard,1332.45,27.510501107333056,235.0,Yes,12.319201594339749,47.06253817802003,Low_spent_Small_value_payments,290.76271856097355
June,27,Mechanic,14566.27,1201.8558333333333,1617,9,31,5,"Credit-Builder Loan, Home Equity Loan, Auto Loan, Auto Loan, and Payday Loan",22,15.0,11.26,11.0,Bad,3402.82,33.837121705194384,,Yes,50.31132270983993,141.51053629981868,Low_spent_Small_value_payments,218.36372432367477
February,34,_______,55516.29,4445.3575,7,10,18,8,"Credit-Builder Loan, Mortgage Loan, Payday Loan, Auto Loan, Auto Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Home Equity Loan",60,21.0,22.81,7.0,Bad,3871.02,30.96526433447025,107.0,Yes,351.6591799446352,10000.0,Low_spent_Large_value_payments,
July,33,Manager,28472.92,2201.7433333333333,2,1,4407,4,"Home Equity Loan, Debt Consolidation Loan, Student Loan, and Personal Loan",8,5.0,7.69,7.0,Good,325.41,26.450532791436192,298.0,No,75.55976368298326,152.226165188521,Low_spent_Small_value_payments,282.38840446182905
July,22,Scientist,27347.9,2499.991666666667,8,584,7,1,Not Specified,13,9.0,15.54,6.0,_,1274.89,35.63610233159497,153.0,Yes,13.306162533255351,118.78880354401169,!@9#%8,407.9042005893997
June,35,Mechanic,79323.96,6900.330000000001,9,8,17,8,"Debt Consolidation Loan, Mortgage Loan, Student Loan, Payday Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",42,23.0,23.77,12.0,Bad,3393.48,25.09841293350874,170.0,Yes,423.1495504156436,94.90496135706157,High_spent_Large_value_payments,411.9784882272951
April,51,Manager,144066.24,11942.52,8,6,13,2,"Auto Loan, and Personal Loan",29,10.0,10.84,2.0,Standard,670.35,32.57310607639575,379.0,No,225.714808499188,560.984031954427,High_spent_Small_value_payments,667.553159546385
July,43,Scientist,109864.47,9093.3725,8,6,16,0,,15,10.0,4.67,7.0,Standard,35.21,32.25230156985703,,Yes,0.0,10000.0,High_spent_Large_value_payments,953.0301661706916
January,31,Manager,177560.68,14512.723333333332,0,3,5,0,,22,3.0,4.19,1.0,Good,376.64,30.959664624673128,285.0,No,0.0,10000.0,Low_spent_Medium_value_payments,1307.6435175236263
January,55,_______,25793.11,2322.425833333333,4,7,1085,3,"Auto Loan, Credit-Builder Loan, and Home Equity Loan",8,12.0,8.78,4.0,Standard,413.08,27.877128205982203,349.0,No,47.57935790575591,196.9598284882991,Low_spent_Large_value_payments,257.70339693927826
July,36,Lawyer,32086.38,2793.865,9,7,21,7,"Debt Consolidation Loan, Auto Loan, Home Equity Loan, Mortgage Loan, Personal Loan, Not Specified, and Personal Loan",61,23.0,5.99,10.0,Bad,2865.49,34.70848689960087,154.0,Yes,120.12475393690735,53.92048109111919,High_spent_Large_value_payments,345.34126497197343
August,39,Developer,58380.6,4891.05,7,5,27,4,"Student Loan, Credit-Builder Loan, Debt Consolidation Loan, and Home Equity Loan",57,20.0,9.94,12.0,_,1494.92,28.629072300358445,117.0,Yes,160.05196665231998,472.7538765236911,Low_spent_Small_value_payments,146.29915682398894
February,14,Accountant,27796.42,2300.3683333333333,6,5,16,-100,"Home Equity Loan, and Student Loan",18,14.0,11.85,7.0,Standard,1073.94,30.389655492900893,326.0,Yes,36.06763128414976,130.09961140666988,Low_spent_Large_value_payments,333.8695906425137
July,25,Accountant,16063.455,1142.62125,8,6,7,2,"Credit-Builder Loan, and Mortgage Loan",16,18.0,15.79,9.0,Standard,355.79,29.113920000423576,196.0,Yes,22.0596506930977,82.85137965300211,!@9#%8,299.3510946539002
June,33,Writer,60243.46,5070.288333333333,6,5,16,3,"Personal Loan, Payday Loan, and Debt Consolidation Loan",5,12.0,0.61,8.0,_,854.02,33.572829764412305,266.0,No,76.8203135363397,200.87766237098705,High_spent_Medium_value_payments,479.33085742600656
July,36,Media_Manager,174826.76,14584.896666666667,5,7,1443,2,"Not Specified, and Payday Loan",11,8.0,11.5,0.0,_,819.92,37.315269204109015,347.0,No,279.6048939854535,312.0519620519865,!@9#%8,1126.8328106292267
August,34,Engineer,112812.24,9417.02,0,5,2,0,,10,,1.19,4.0,Good,506.96,27.595057111834496,356.0,No,0.0,328.29388241170955,High_spent_Small_value_payments,873.4081175882907
February,47,Mechanic,21421.73,1689.144166666667,5,3,17,4,"Mortgage Loan, Mortgage Loan, Home Equity Loan, and Credit-Builder Loan",12,10.0,9.11,4.0,Standard,1378.89,26.601442205758023,260.0,No,47.62902007953036,158.28670608142932,Low_spent_Large_value_payments,232.998690505707
January,42,Writer,144037.08,12222.089999999998,6,6,9,2,"Debt Consolidation Loan, and Credit-Builder Loan",26,10.0,10.92,0.0,Standard,696.67,33.84576957695989,346.0,No,235.63883115303503,10000.0,High_spent_Medium_value_payments,751.7298347482837
July,44,Manager,20957.27,,8,5,30,9,"Student Loan, Credit-Builder Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Debt Consolidation Loan",11,,17.38,12.0,Bad,4912.34,38.99736670781927,142.0,Yes,113.64602833714936,112.38751536374836,High_spent_Small_value_payments,233.01037296576897
June,41,Engineer,41073.26,3687.771666666667,8,10,25,3,"Home Equity Loan, Auto Loan, and Home Equity Loan",60,,6.22,13.0,Bad,2446.32,25.18510828984484,153.0,Yes,87.3268043622204,105.1579793891596,High_spent_Small_value_payments,436.29238291528674
August,41,Accountant,14542.23,1070.8525,7,5,16,-100,"Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",59,15.0,15.079999999999998,13.0,Bad,1482.46,27.83440251266129,200.0,Yes,18.26578152551848,100.0996847546783,Low_spent_Medium_value_payments,268.7197837198032
May,26,_______,30632.94,2535.745,3,1492,1,2,"Not Specified, and Student Loan",13,2.0,10.08,2.0,Good,31.5,36.587756479153136,267.0,No,44.890494154838144,88.01085819166602,Low_spent_Small_value_payments,410.673147653496
March,29,Doctor,31969.22,2946.101666666667,6,5,8,6,"Payday Loan, Not Specified, Mortgage Loan, Payday Loan, Not Specified, and Personal Loan",4,17.0,12.98,6.0,_,1334.68,33.89751154496001,76.0,Yes,142.96527479958743,71.35895021812539,High_spent_Small_value_payments,340.28594164895384
February,20,_______,117283.35,,0,7,7,3,"Not Specified, Payday Loan, and Payday Loan",11,7.0,10.27,3.0,Good,1248.12,31.18661783013337,225.0,No,173.48093047656704,582.3591840583631,Low_spent_Large_value_payments,481.12113546506976
April,47,Developer,26340.1,2476.008333333333,4,5,15,3,"Mortgage Loan, Credit-Builder Loan, and Student Loan",10,13.0,-5.37,0.0,Standard,221.86,39.24169151368952,211.0,No,62.080928684690456,,High_spent_Large_value_payments,397.5098499697863
August,39,Teacher,33960.07,3080.005833333333,1,5,11,1,Not Specified,5,6.0,4.23,2.0,Good,482.5,35.95798651476657,312.0,No,23.172582496377373,318.5642400414495,Low_spent_Small_value_payments,256.26376079550647
February,45,Writer,140276.8,11738.733333333332,5,3,5,4,"Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Auto Loan",10,18.0,8.22,2.0,Standard,817.22,41.303881638202974,395.0,Yes,383.23845054781214,122.09565854071232,High_spent_Large_value_payments,908.5392242448088
July,46,Writer,18829.82,1578.1516666666666,8,8,24,4,"Mortgage Loan, Personal Loan, Payday Loan, and Debt Consolidation Loan",20,11.0,5.359999999999999,13.0,Standard,1752.02,35.8366836525845,107.0,Yes,34.90700760005657,145.31630497463223,Low_spent_Small_value_payments,267.5918540919779
February,39,Architect,16041.33,1281.7775,9,6,24,9,"Auto Loan, Mortgage Loan, Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",49,20.0,27.32,11.0,Bad,2509.58,31.665669663636173,72.0,Yes,76.80901872015917,90.855114891405,Low_spent_Small_value_payments,250.51361638843585
July,31,Architect,128494.52,10580.876666666669,4,4,9,2,"Student Loan, and Mortgage Loan",0,1.0,10.33,3.0,Good,722.25,38.89389873167496,343.0,No,176.90460970962792,1250.2620811971146,Low_spent_Small_value_payments,
March,52,Lawyer,54426.18,4546.515,4,6,12,4,"Credit-Builder Loan, Auto Loan, Personal Loan, and Home Equity Loan",11,13.0,2.74,6.0,Standard,865.04,35.30244601963128,361.0,No,137.76746132663558,172.758383665539,High_spent_Medium_value_payments,394.1256550078255
March,44,_______,17963.45,1328.9541666666669,6,7,17,2,"Personal Loan, and Not Specified",57,15.0,6.75,10.0,_,2052.02,37.161195637823525,83.0,Yes,23.01331426191241,,High_spent_Large_value_payments,331.6473792678692
April,41,Teacher,89338.36,,4,5,10,3,"Home Equity Loan, Payday Loan, and Auto Loan",12,0.0,2.3,3.0,Good,915.14,36.43221134902689,234.0,No,561.1987988677749,665.0192786948626,Low_spent_Medium_value_payments,239.6506775139262
January,28,Entrepreneur,75257.64,6312.47,7,3,19,4,"Payday Loan, Debt Consolidation Loan, Auto Loan, and Credit-Builder Loan",10,9.0,7.37,1366.0,Standard,499.04,27.598516048945804,135.0,Yes,129.32810851299192,576.9941745382695,Low_spent_Medium_value_payments,204.92471694873868
July,32,Entrepreneur,15528.29,1340.0241666666668,7,8,21,7,"Not Specified, Payday Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",19,16.0,8.69,10.0,Bad,3025.44,36.35860317115214,91.0,Yes,66.42616279579548,47.26395112590666,High_spent_Small_value_payments,280.31230274496454
June,33,Doctor,16562.55,1678.2125,3,5,18,3,"Payday Loan, Home Equity Loan, and Debt Consolidation Loan",18,12.0,14.47,7.0,_,2350.16,39.49790206238775,148.0,Yes,25.00647939878881,26.57670102450644,High_spent_Medium_value_payments,366.2380695767048
May,17,_______,59930.64,4988.22,6,7,33,4,"Not Specified, Not Specified, Personal Loan, and Auto Loan",65,19.0,13.43,9.0,Bad,2418.61,30.557864227256093,117.0,Yes,194.14247466470272,197.59189638564985,!@9#%8,367.0876289496475
January,41,Accountant,23692.52,2104.376666666667,5,3,8,0,,24,13.0,10.69,0.0,Standard,915.87,33.880433089413536,368.0,Yes,0.0,63.71956845503024,High_spent_Medium_value_payments,396.7180982116365
June,15,Scientist,35593.16,2711.096666666667,6,10,27,4,"Not Specified, Home Equity Loan, Student Loan, and Credit-Builder Loan",47,22.0,19.67,11.0,Bad,1368.27,32.614293729674394,,Yes,72.4217552457502,96.65413458810852,High_spent_Medium_value_payments,352.03377683280786
August,40,Lawyer,16138.98,1236.915,8,7,16,5,"Student Loan, Student Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",27,14.0,16.45,13.0,Standard,1278.88,31.887477167628035,214.0,Yes,44.32788926876541,24.778019396671404,High_spent_Medium_value_payments,304.5855913345632
April,40,Manager,26738.26,2058.188333333333,7,6,20,6,"Home Equity Loan, Not Specified, Student Loan, Auto Loan, Debt Consolidation Loan, and Credit-Builder Loan",7,13.0,18.85,,Standard,828.93,39.029471637078,,Yes,86.26335628826408,147.73729929197643,Low_spent_Small_value_payments,261.81817775309287
April,37,Entrepreneur,9589.545,,8,7,33,6,"Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Payday Loan",21,18.0,13.71,11.0,Standard,1907.73,29.902079090824188,68.0,Yes,25.248248041311264,,Low_spent_Medium_value_payments,283.9797784824427
May,47,Media_Manager,20229.03,,8,5,10,3,"Personal Loan, Auto Loan, and Debt Consolidation Loan",16,10.0,10.93,1.0,Standard,1352.13,37.66206743514545,,No,35.33336984134754,,Low_spent_Small_value_payments,267.53248285505936
July,32,Teacher,117355.48,,4,7,1778,1,Credit-Builder Loan,9,1.0,7.72,3.0,Good,1484.67,35.140722173245514,319.0,No,67.67342475069336,389.5366838286552,Low_spent_Medium_value_payments,798.5522247539847
June,15,Architect,30228.82,2406.068333333333,7,7,18,8,"Personal Loan, Student Loan, Personal Loan, Home Equity Loan, Debt Consolidation Loan, Not Specified, Home Equity Loan, and Not Specified",50,16.0,5.51,10.0,Bad,1430.8,32.397442385865695,156.0,Yes,131.5607132374166,108.29390151448644,High_spent_Small_value_payments,260.75221858143027
February,46,Journalist,39459.88,3530.3233333333333,4,2,1,2,"Mortgage Loan, and Student Loan",1,0.0,6.28,4.0,Good,1253.88,34.22758725294618,292.0,No,50.772298733921474,10000.0,High_spent_Small_value_payments,342.3755984526922
July,24,Engineer,112282.4,9102.866666666669,4,3,16,0,,26,14.0,9.63,3.0,_,1113.98,23.958243929392747,,Yes,0.0,663.4173039356305,Low_spent_Medium_value_payments,526.8693627310363
March,44,Developer,20647.0,1714.583333333333,5,4,4,4,"Credit-Builder Loan, Not Specified, Personal Loan, and Credit-Builder Loan",24,11.0,11.25,0.0,_,1370.19,29.37368355363756,384.0,No,65.57040509535044,145.54818484365327,!@9#%8,230.3397433943296
June,53,Doctor,69886.64,4873.622245698728,4,6,3,1,Home Equity Loan,10,1.0,7.52,2.0,Good,683.01,39.7518480034748,212.0,No,857.399184254989,218.53574726917185,Low_spent_Small_value_payments,581.718156110444
April,32,Architect,104506.98,,5,1,3,4,"Not Specified, Mortgage Loan, Personal Loan, and Home Equity Loan",2,6.0,8.61,2.0,Good,684.55,31.89506947917254,400.0,No,340.1049572228566,225.46619280547108,Low_spent_Large_value_payments,603.1203499716723
August,27,Accountant,14168.2,1054.6833333333334,8,8,28,8,"Home Equity Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, and Payday Loan",24,19.0,23.65,12.0,Bad,3457.78,24.6690850502677,90.0,Yes,91.8454032311883,140.8990827663271,Low_spent_Small_value_payments,162.723847335818
May,37,Entrepreneur,16678.77,1101.8975,8,6,2199,9,"Personal Loan, Mortgage Loan, Not Specified, Payday Loan, Personal Loan, Not Specified, Not Specified, Home Equity Loan, and Not Specified",52,19.0,9.38,14.0,_,4312.53,30.03721760844464,60.0,Yes,90.74345288894855,43.33641128625593,Low_spent_Small_value_payments,266.10988582479547
February,43,Developer,36886.49,3088.874166666666,4,7,20,0,,6,17.0,16.54,4.0,Standard,1251.85,36.249272647817634,257.0,Yes,0.0,56.45732375173147,High_spent_Large_value_payments,492.43009291493513
